Date,Plat_ID,Platform,Product_State,Product_Title,Original_Price,Discount_Price,Product_Link
2024-05-04,001,sasa,現有現貨,【網店限定】MVSK 24K金羊胎素肌底再生活膚露(微乳化技術) 110毫升,763.0,229.0,https://www.sasa.com.hk/SalePage/Index/8874
2024-05-04,001,sasa,現有現貨,【網店限定】Clinique 特效控油啫喱霜 125亳升,305.0,102.0,https://www.sasa.com.hk/SalePage/Index/8697
2024-05-04,001,sasa,現有現貨,JMsolution (肌司研)水滋養急救針劑面膜黑臻版 35毫升x10片,148.0,49.0,https://www.sasa.com.hk/SalePage/Index/7880
2024-05-04,001,sasa,現有現貨,【網店限定】DR.BSC 極滑保濕毛孔細緻滑膚水《8倍蠶絲+玻尿酸》150毫升,163.0,99.0,https://www.sasa.com.hk/SalePage/Index/7696
2024-05-04,001,sasa,現有現貨,【網店限定】Eaoron 提拉緊緻V面膜 5片裝,169.0,55.0,https://www.sasa.com.hk/SalePage/Index/6839
2024-05-04,001,sasa,現有現貨,Fresh 玫瑰深層保濕面霜 50毫升,420.0,220.0,https://www.sasa.com.hk/SalePage/Index/6533
2024-05-04,001,sasa,現有現貨,【網店限定】Eve Lom 卸妝潔面霜 200毫升,920.0,538.0,https://www.sasa.com.hk/SalePage/Index/381427
2024-05-04,001,sasa,現有現貨,Kiehl’s 特效清爽保濕啫喱面霜 50毫升,340.0,188.0,https://www.sasa.com.hk/SalePage/Index/350426
2024-05-04,001,sasa,現有現貨,Sabon 舒活薄荷清新瑩亮2合1 面部磨砂潔面霜 200毫升,420.0,273.0,https://www.sasa.com.hk/SalePage/Index/298078
2024-05-04,001,sasa,現有現貨,SNP 黃金膠原緊緻果凍眼膜 60片裝,180.0,52.0,https://www.sasa.com.hk/SalePage/Index/279761
2024-05-04,001,sasa,現有現貨,Neutrogena 維A醇抗皺修護眼霜 14毫升,199.0,149.0,https://www.sasa.com.hk/SalePage/Index/265863
2024-05-04,001,sasa,現有現貨,IPSA 生肌水源素 流金水 200亳升,320.0,195.0,https://www.sasa.com.hk/SalePage/Index/9108
2024-05-04,001,sasa,現有現貨,The Ordinary 透明質酸補水精華 30毫升,,80.0,https://www.sasa.com.hk/SalePage/Index/7024
2024-05-04,001,sasa,現有現貨,The Ordinary ＂NIACINAMIDE 10% + ZINC 1%＂精華,,68.0,https://www.sasa.com.hk/SalePage/Index/6941
2024-05-04,001,sasa,現有現貨,La Mer 眼部精華乳霜 15毫升,2055.0,1220.0,https://www.sasa.com.hk/SalePage/Index/6497
2024-05-04,001,sasa,現有現貨,Sulwhasoo 玉容面膜 120毫升,320.0,158.0,https://www.sasa.com.hk/SalePage/Index/372371
2024-05-04,001,sasa,現有現貨,sasatinnie 升級版全效水潤透光面膜-第三代 5片裝,195.0,156.0,https://www.sasa.com.hk/SalePage/Index/349950
2024-05-04,001,sasa,現有現貨,Banila Co 緻柔卸妝膏 100毫升,188.0,88.0,https://www.sasa.com.hk/SalePage/Index/329169
2024-05-04,001,sasa,現有現貨,【網店限定】Estee Lauder 再生基因瞬亮修護眼膜 1片裝,77.5,55.0,https://www.sasa.com.hk/SalePage/Index/300270
2024-05-04,001,sasa,現有現貨,【網店限定】Dr.BSC 收毛孔去印去疤精華 30毫升,495.0,199.0,https://www.sasa.com.hk/SalePage/Index/300137
2024-05-04,001,sasa,現有現貨,Belif 復活草保濕肌底精華 75毫升,260.0,148.0,https://www.sasa.com.hk/SalePage/Index/276198
2024-05-04,001,sasa,現有現貨,【網店限定】Suisse Programme 智能活水精華 30亳升,870.0,468.0,https://www.sasa.com.hk/SalePage/Index/9958
2024-05-04,001,sasa,現有現貨,Kiehl’s 特效保濕乳霜 50亳升,340.0,180.0,https://www.sasa.com.hk/SalePage/Index/8710
2024-05-04,001,sasa,現有現貨,LUCAS PAPAW 純天然木瓜軟膏 (萬用膏/萬能膏) 25克,78.0,34.0,https://www.sasa.com.hk/SalePage/Index/7776
2024-05-04,001,sasa,現有現貨,Caudalie 葡萄籽保濕噴霧 200毫升,130.0,83.0,https://www.sasa.com.hk/SalePage/Index/6982
2024-05-04,001,sasa,現有現貨,DHC深層卸妝毛孔潔膚油 200毫升,253.0,115.0,https://www.sasa.com.hk/SalePage/Index/6948
2024-05-04,001,sasa,現有現貨,Bifesta 高效眼部卸妝液 145毫升,,52.9,https://www.sasa.com.hk/SalePage/Index/6945
2024-05-04,001,sasa,現有現貨,【網店限定】MVSK 黃金羊胎素再生精華 4件裝,563.0,169.0,https://www.sasa.com.hk/SalePage/Index/6907
2024-05-04,001,sasa,現有現貨,La Mer 修護唇霜 9克,650.0,358.0,https://www.sasa.com.hk/SalePage/Index/6853
2024-05-04,001,sasa,現有現貨,Elizabeth Arden 升級版金裝時空修護眼部膠囊 (金膠) 60粒,565.0,248.0,https://www.sasa.com.hk/SalePage/Index/6514
2024-05-04,001,sasa,現有現貨,The Ordinary 天然保濕因子+透明質酸面霜 100毫升,,120.0,https://www.sasa.com.hk/SalePage/Index/384999
